id,ib_var_1,ib_var_2,ib_var_3,ib_var_4,ib_var_5,ib_var_6,ib_var_7,ib_var_8,ib_var_9,ib_var_10,ib_var_11,ib_var_12,ib_var_13,ib_var_14,ib_var_15,ib_var_16,ib_var_17,ib_var_18,ib_var_19,ib_var_20,ib_var_21,icn_var_22,icn_var_23,icn_var_24,ico_var_25,ico_var_26,ico_var_27,ico_var_28,ico_var_29,ico_var_30,ico_var_31,ico_var_32,ico_var_33,ico_var_34,ico_var_35,ico_var_36,ico_var_37,ico_var_38,ico_var_39,ico_var_40,ico_var_41,ico_var_42,ico_var_43,ico_var_44,ico_var_45,ico_var_46,ico_var_47,ico_var_48,ico_var_49,ico_var_50,ico_var_51,ico_var_52,ico_var_53,ico_var_54,ico_var_55,ico_var_56,ico_var_57,ico_var_58,ico_var_59,ico_var_60,ico_var_61,ico_var_62,ico_var_63,ico_var_64,if_var_65,if_var_66,if_var_67,if_var_68,if_var_69,if_var_70,if_var_71,if_var_72,if_var_73,if_var_74,if_var_75,if_var_76,if_var_77,if_var_78,if_var_79,if_var_80,if_var_81,ob_target
1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,2,1,2,4,4,4,4,5,4,4,3,11,15,7,14,3,3,1,3,4,1,3,4,4,4,4,4,2,1,3,3,2,4,2,3,1,4,3,3,2,4,3,1,31,100,6,4626,7196,1,6,6,0.8,0,6,5,0.5,9.4634,5140,0.7666667,1,0
2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,3,1,1,5,5,4,5,4,4,5,5,3,12,3,5,5,1,1,2,2,1,4,5,1,5,1,5,1,3,2,1,2,4,1,3,1,4,1,2,2,5,1,1,34,100,5,822.4,2981.2,1,3,2,0.925,5,8,5,0.4,7.6341,2570,0.7,4,0
3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,4,1,1,4,4,4,4,4,4,4,4,1,8,8,1,4,2,5,2,4,4,4,5,2,2,4,3,2,2,2,4,2,4,1,1,2,4,2,2,2,4,2,2,50,100,10,1028,7196,1,5,3,0.8,3,10,6,0.7,11.1707,5140,0.6666667,2,0
4,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,2,1,3,4,4,4,5,4,3,4,5,2,6,23,2,4,2,3,1,1,2,5,5,2,5,1,5,2,1,2,3,1,2,3,3,3,4,1,1,2,2,2,2,30,100,10,4112,4112,2,5,6,0.825,5,5,6,0.4333333,8.0488,1028,0.7666667,3,0
5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,3,1,1,4,4,4,4,4,4,4,4,1,7,17,1,4,3,4,3,3,4,4,4,2,4,4,4,2,2,3,4,2,4,2,3,2,4,3,2,2,4,1,2,37,100,15,1028,1542,1,1,3,0.8,0,11,5,0.7,5.5854,5140,0.7333333,3,0
6,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,5,5,5,3,1,2,4,4,9,12,11,13,4,1,2,1,2,3,5,3,2,3,1,4,2,5,1,5,3,1,1,2,4,4,1,2,1,2,2,4,34,100,10,1543.5,16464,1,1,1,0.725,5,3,6,0.4333333,1.3902,5145,0.6,2,0
7,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,3,1,3,5,5,3,5,4,5,4,5,17,17,23,12,4,3,4,4,4,4,5,5,3,5,3,5,1,1,1,3,1,4,2,1,2,4,1,3,2,5,4,2,27,100,5,5140,6168,1,4,7,0.9,0,4,4,0.7666667,19.2195,5140,0.8666667,0,0
8,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,4,1,1,5,4,4,5,5,4,4,5,1,9,15,1,4,4,4,4,4,4,4,4,2,4,4,4,2,2,1,1,2,1,2,2,2,4,2,2,2,2,1,1,27,100,8,1542,3598,1,3,2,0.9,0,11,12,0.8,8.8537,5140,0.7333333,3,0
9,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,2,5,3,4,3,5,5,4,5,5,3,7,10,23,7,2,2,1,1,1,2,5,3,1,4,1,2,1,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2,39,100,15,514,34512.5,1,1,6,0.85,0,7,9,0.3,5.0488,15294,0.5333334,0,0
10,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,3,1,1,4,4,4,4,4,4,4,4,1,7,23,1,2,2,2,2,2,2,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,39,100,5,1542,1542,1,1,1,0.8,0,19,19,0.4,1.878,1028,0.6,3,0
