,id,ib_var_1,ib_var_2,ib_var_3,ib_var_4,ib_var_5,ib_var_6,ib_var_7,ib_var_8,ib_var_9,ib_var_10,ib_var_11,ib_var_12,ib_var_13,ib_var_14,ib_var_15,ib_var_16,ib_var_17,ib_var_18,ib_var_19,ib_var_20,ib_var_21,icn_var_22,icn_var_23,icn_var_24,ico_var_25,ico_var_26,ico_var_27,ico_var_28,ico_var_29,ico_var_30,ico_var_31,ico_var_32,ico_var_33,ico_var_34,ico_var_35,ico_var_36,ico_var_37,ico_var_38,ico_var_39,ico_var_40,ico_var_41,ico_var_42,ico_var_43,ico_var_44,ico_var_45,ico_var_46,ico_var_47,ico_var_48,ico_var_49,ico_var_50,ico_var_51,ico_var_52,ico_var_53,ico_var_54,ico_var_55,ico_var_56,ico_var_57,ico_var_58,ico_var_59,ico_var_60,ico_var_61,ico_var_62,ico_var_63,ico_var_64,if_var_65,if_var_66,if_var_67,if_var_68,if_var_69,if_var_70,if_var_71,if_var_72,if_var_73,if_var_74,if_var_75,if_var_76,if_var_77,if_var_78,if_var_79,if_var_80,if_var_81
0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,2,1,2,4,4,4,4,5,4,4,3,11,15,7,14,3,3,1,3,4,1,3,4,4,4,4,4,2,1,3,3,2,4,2,3,1,4,3,3,2,4,3,1,31,100,6,4626.0,7196.0,1,6,6,0.8,0,6,5,0.5,9.4634,5140.0,0.7666666999999999,1
1,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,3,1,1,5,5,4,5,4,4,5,5,3,12,3,5,5,1,1,2,2,1,4,5,1,5,1,5,1,3,2,1,2,4,1,3,1,4,1,2,2,5,1,1,34,100,5,822.4,2981.2,1,3,2,0.925,5,8,5,0.4,7.6341,2570.0,0.7,4
2,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,4,1,1,4,4,4,4,4,4,4,4,1,8,8,1,4,2,5,2,4,4,4,5,2,2,4,3,2,2,2,4,2,4,1,1,2,4,2,2,2,4,2,2,50,100,10,1028.0,7196.0,1,5,3,0.8,3,10,6,0.7,11.1707,5140.0,0.6666667,2
3,4,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,2,1,3,4,4,4,5,4,3,4,5,2,6,23,2,4,2,3,1,1,2,5,5,2,5,1,5,2,1,2,3,1,2,3,3,3,4,1,1,2,2,2,2,30,100,10,4112.0,4112.0,2,5,6,0.825,5,5,6,0.4333333,8.0488,1028.0,0.7666666999999999,3
4,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,3,1,1,4,4,4,4,4,4,4,4,1,7,17,1,4,3,4,3,3,4,4,4,2,4,4,4,2,2,3,4,2,4,2,3,2,4,3,2,2,4,1,2,37,100,15,1028.0,1542.0,1,1,3,0.8,0,11,5,0.7,5.5854,5140.0,0.7333333000000001,3
5,6,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,5,5,5,3,1,2,4,4,9,12,11,13,4,1,2,1,2,3,5,3,2,3,1,4,2,5,1,5,3,1,1,2,4,4,1,2,1,2,2,4,34,100,10,1543.5,16464.0,1,1,1,0.725,5,3,6,0.4333333,1.3902,5145.0,0.6,2
6,7,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,3,1,3,5,5,3,5,4,5,4,5,17,17,23,12,4,3,4,4,4,4,5,5,3,5,3,5,1,1,1,3,1,4,2,1,2,4,1,3,2,5,4,2,27,100,5,5140.0,6168.0,1,4,7,0.9,0,4,4,0.7666666999999999,19.2195,5140.0,0.8666666999999999,0
7,8,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,4,1,1,5,4,4,5,5,4,4,5,1,9,15,1,4,4,4,4,4,4,4,4,2,4,4,4,2,2,1,1,2,1,2,2,2,4,2,2,2,2,1,1,27,100,8,1542.0,3598.0,1,3,2,0.9,0,11,12,0.8,8.8537,5140.0,0.7333333000000001,3
8,9,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,2,5,3,4,3,5,5,4,5,5,3,7,10,23,7,2,2,1,1,1,2,5,3,1,4,1,2,1,2,1,1,1,1,1,2,2,1,2,2,1,1,1,2,39,100,15,514.0,34512.5,1,1,6,0.85,0,7,9,0.3,5.0488,15294.0,0.5333334,0
9,10,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,3,1,1,4,4,4,4,4,4,4,4,1,7,23,1,2,2,2,2,2,2,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,39,100,5,1542.0,1542.0,1,1,1,0.8,0,19,19,0.4,1.8780000000000001,1028.0,0.6,3
10,11,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,3,1,2,4,5,4,4,4,4,4,4,9,12,9,9,4,4,4,4,4,4,5,4,2,5,4,4,1,1,2,4,2,4,2,2,4,4,2,2,2,4,2,2,39,100,3,6168.0,8224.0,1,5,5,0.825,0,11,9,0.8,29.1951,2570.0,0.8,3
11,12,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,4,4,4,4,4,3,3,4,1,12,23,17,3,3,3,3,3,3,4,3,3,5,2,3,1,2,4,3,3,4,2,3,3,3,2,2,3,3,2,2,40,100,9,1028.0,5242.8,2,1,1,0.75,0,12,5,0.6,8.2439,5140.0,0.6666667,3
12,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,1,4,5,3,4,4,4,4,4,9,9,12,9,4,3,3,3,4,3,4,5,2,4,4,4,2,2,1,3,2,3,3,3,2,3,3,2,3,3,2,1,37,100,8,2056.0,10280.0,2,2,3,0.8,0,9,8,0.6666667,10.9512,15294.0,0.7666666999999999,3
13,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,1,4,4,4,4,3,4,5,4,1,13,23,1,4,2,4,2,3,1,4,4,2,4,4,3,1,2,2,4,2,2,3,3,1,2,2,2,2,4,3,2,30,100,8,6168.0,9252.0,1,3,5,0.8,0,5,7,0.5333334,5.439,5140.0,0.7,1
14,15,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,5,5,5,5,4,4,4,4,1,7,23,9,4,4,4,4,4,4,4,5,1,5,4,5,1,2,1,4,2,4,2,3,4,4,2,2,3,4,4,1,52,100,6,514.0,3700.8,1,4,7,0.9,0,12,5,0.8,8.7561,1028.0,0.8,2
15,16,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,1,4,4,4,4,3,3,4,4,1,11,23,9,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,2,4,3,2,2,3,2,2,2,3,2,2,48,100,3,205.6,1542.0,1,1,3,0.75,0,11,7,0.8,6.6098,2672.8,0.8,2
16,17,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,3,1,2,5,5,5,5,5,5,5,5,1,7,11,1,1,1,1,1,1,1,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,100,4,1028.0,10280.0,1,1,1,1.0,0,19,19,0.2,1.3659,5140.0,0.6,3
17,18,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,2,1,3,4,4,3,5,2,4,4,2,7,11,12,3,5,2,2,2,2,4,5,4,2,5,1,4,1,2,4,4,4,4,2,4,3,2,1,1,4,4,2,1,26,100,5,805.6,4028.0,1,5,4,0.7,4,6,7,0.5666667,26.3415,3524.5,0.7,2
18,19,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,4,4,4,4,2,4,4,4,1,12,23,15,4,2,3,4,4,3,4,5,2,4,4,4,2,2,4,2,4,2,2,4,2,2,2,3,2,4,2,2,57,100,20,1542.0,3084.0,1,3,4,0.75,1,9,9,0.6666667,19.1707,1336.4,0.7666666999999999,1
19,20,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,2,1,2,4,3,4,2,3,4,3,4,7,16,12,7,4,5,3,4,1,4,4,5,1,5,4,5,2,2,3,5,2,5,2,2,2,4,2,1,2,4,3,1,43,100,5,3598.0,3598.0,1,6,7,0.675,3,1,4,0.7,19.7317,1028.0,0.8,5
20,21,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,2,1,1,4,4,4,4,4,4,4,4,7,7,13,12,2,2,2,2,2,2,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,39,100,17,1028.0,20560.0,1,3,6,0.8,0,19,19,0.4,2.5854,10280.0,0.6,4
21,22,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,2,1,1,5,5,5,5,5,5,5,5,8,12,17,9,1,1,1,1,1,1,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,100,5,2056.0,1644.8,1,1,5,1.0,0,19,17,0.2,3.9756,2570.0,0.6,2
22,23,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,2,5,5,5,4,4,4,4,4,7,7,9,8,4,4,4,4,4,4,5,4,2,5,4,4,1,2,2,4,2,4,2,2,1,4,1,2,2,4,3,1,40,100,6,1028.0,12336.0,1,4,6,0.875,0,12,4,0.8,5.8293,2570.0,0.8,4
23,24,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,2,1,1,4,4,4,3,4,4,4,4,7,7,11,1,3,2,3,2,3,3,4,4,3,3,4,4,2,2,2,3,2,3,2,2,3,3,3,2,2,3,3,2,42,100,7,925.2,4626.0,1,2,4,0.775,0,8,11,0.5333334,5.9024,616.8,0.7333333000000001,3
24,25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,3,3,1,3,4,5,5,2,5,3,4,1,7,17,7,1,3,2,1,2,1,4,5,2,3,1,3,3,3,2,2,2,2,1,2,1,1,2,1,3,2,2,2,55,100,5,3084.0,3084.0,2,1,1,0.775,1,3,8,0.3333333,1.122,3084.0,0.6,2
25,26,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,1,4,5,4,4,4,4,4,4,9,9,9,12,5,3,4,3,3,4,4,5,2,4,4,4,1,2,2,3,2,4,2,4,2,3,3,1,3,3,2,2,45,100,5,616.8,5140.0,1,4,3,0.825,0,9,8,0.7333333000000001,10.2927,2570.0,0.7666666999999999,4
26,27,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,3,1,4,5,5,3,3,4,3,4,7,23,23,1,4,3,3,3,4,4,4,5,2,5,4,4,2,1,2,4,1,4,3,2,3,4,2,2,1,4,3,2,46,100,2,8224.0,8224.0,1,3,3,0.775,0,7,3,0.7,8.4146,5140.0,0.8,5
27,28,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,2,1,1,4,4,3,3,3,4,5,3,11,9,13,13,1,2,2,3,2,4,2,4,2,4,1,2,2,1,3,2,3,2,2,1,5,1,2,3,1,4,1,1,43,100,15,514.0,7607.2,1,6,5,0.725,2,6,5,0.46666670000000005,3.5122,2364.4,0.5,4
28,29,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,5,2,5,4,5,5,4,4,5,5,1,8,10,3,4,5,1,4,4,4,5,4,4,5,4,4,2,1,1,4,2,4,1,1,1,4,1,1,1,4,2,1,24,100,3,308.4,4112.0,1,1,1,0.925,0,6,6,0.7333333000000001,13.8537,5140.0,0.8666666999999999,0
29,30,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,2,1,3,4,4,4,4,4,4,4,4,1,13,23,1,2,2,2,2,2,2,4,4,2,4,2,2,2,3,2,3,2,2,2,2,3,2,2,3,2,2,2,3,28,100,7,514.0,514.0,2,2,3,0.8,0,19,8,0.4,1.7561,514.0,0.6,2
30,31,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,3,4,4,4,4,4,4,4,4,9,5,23,9,4,4,2,4,3,2,4,4,2,4,4,4,2,2,1,4,2,4,2,2,4,3,2,2,2,3,3,1,39,100,8,1028.0,10280.0,1,3,3,0.8,0,12,9,0.6333333000000001,16.8537,2570.0,0.7333333000000001,2
31,32,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,2,5,4,5,4,4,5,4,3,7,17,10,7,4,2,2,2,2,2,4,4,2,4,4,2,2,2,4,2,2,4,2,4,2,2,1,1,2,4,2,2,39,100,15,6168.0,5140.0,1,5,4,0.85,2,8,8,0.46666670000000005,14.0976,5140.0,0.6666667,2
32,33,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,2,1,1,4,4,4,4,4,4,4,2,1,9,23,12,2,5,2,5,4,1,3,5,4,4,1,4,1,2,1,4,4,2,5,4,4,1,1,4,2,5,2,1,59,100,5,1336.4,5140.0,1,4,2,0.75,4,6,0,0.6333333000000001,39.1463,5140.0,0.7,1
33,34,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,2,5,3,5,4,4,5,3,5,3,4,1,1,8,1,3,4,2,2,1,4,5,3,2,4,4,5,1,1,1,4,2,3,2,2,1,2,3,1,2,3,2,1,21,100,4,1336.4,4112.0,1,5,6,0.825,0,4,4,0.5333334,6.9024,3084.0,0.7666666999999999,0
34,35,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,4,5,4,5,5,5,4,5,9,13,23,12,4,5,3,4,4,4,5,4,2,5,4,5,1,1,1,4,1,4,2,1,1,4,1,1,2,1,1,1,31,100,4,1028.0,7196.0,2,5,3,0.925,0,4,7,0.8,5.4146,514.0,0.8333333,3
35,36,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,4,5,4,5,5,4,4,5,1,13,19,10,2,2,1,2,1,2,5,5,2,5,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,37,100,12,411.2,1542.0,2,1,1,0.9,0,5,13,0.3333333,1.6341,2570.0,0.6666667,2
36,37,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,2,1,1,3,3,3,3,3,3,3,3,8,9,23,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,43,100,10,2570.0,15420.0,10,2,5,0.6,0,19,19,0.6,1.7561,8224.0,0.6,2
37,38,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,1,4,5,5,5,5,4,5,4,15,12,17,15,4,4,4,2,4,4,5,5,2,5,1,4,1,2,1,2,2,4,2,1,1,2,1,1,2,3,2,1,47,100,5,719.6,5140.0,1,4,3,0.925,2,7,2,0.7333333000000001,15.8537,5140.0,0.7333333000000001,4
38,39,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,3,5,4,4,5,4,3,4,4,1,5,5,17,2,2,3,5,4,4,4,4,2,5,4,5,1,2,2,4,1,4,1,1,1,4,3,2,3,4,4,1,29,100,3,925.2,3084.0,2,5,5,0.825,1,6,4,0.6666667,14.2195,2570.0,0.8,1
39,40,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,5,5,4,5,4,4,4,4,1,13,17,1,3,2,3,2,1,4,5,4,2,4,1,4,2,2,3,5,2,4,1,2,2,4,2,2,2,4,2,1,36,100,6,8738.0,9252.0,1,5,6,0.875,2,5,4,0.5,22.1951,2570.0,0.6666667,1
40,41,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,2,1,1,2,4,3,4,4,4,2,4,12,7,12,12,4,5,2,2,2,2,2,1,2,1,2,2,2,2,5,2,4,2,4,2,3,5,2,2,5,2,3,2,35,100,7,1030.0,34512.5,1,1,6,0.675,3,6,6,0.5666667,2.0732,5150.0,0.3333333,2
41,42,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,2,1,1,4,4,4,4,4,4,4,4,2,5,7,9,4,2,3,4,2,2,3,4,2,5,2,4,2,2,2,4,2,2,2,2,1,2,4,3,2,4,4,1,35,100,4,719.6,2570.0,2,5,2,0.8,2,9,9,0.5666667,6.5854,3084.0,0.6666667,3
42,43,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,4,1,1,3,4,5,5,5,5,5,5,1,12,19,1,1,2,1,1,1,1,4,5,3,5,1,3,1,1,2,1,2,2,3,1,2,1,1,1,1,1,1,2,60,100,10,719.6,2056.0,10,1,6,0.925,0,10,9,0.23333330000000002,2.5610000000000004,3084.0,0.7,5
43,44,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,2,1,1,3,4,4,3,4,4,4,4,5,18,23,6,2,2,2,2,2,3,4,4,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,43,100,30,8738.0,10280.0,1,5,5,0.75,0,13,11,0.4333333,1.2195,3084.0,0.6333333000000001,5
44,45,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,4,4,5,5,5,4,4,4,1,3,23,5,4,1,4,1,4,1,4,4,2,5,4,4,2,1,2,2,1,1,2,2,2,1,1,1,2,1,1,2,56,100,11,308.4,3084.0,1,2,2,0.875,0,7,7,0.5,7.9756,2056.0,0.7666666999999999,4
45,46,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,2,1,1,5,5,4,4,4,4,4,4,9,17,23,9,4,4,4,4,4,4,4,5,4,5,5,5,1,2,2,4,2,4,2,2,2,4,2,2,2,5,1,2,48,100,20,411.2,2570.0,4,6,4,0.85,0,12,5,0.8,27.4878,2570.0,0.9333333,1
46,47,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,2,1,2,3,5,3,5,3,3,3,3,1,7,9,7,1,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,2,1,3,1,3,2,3,3,3,3,1,35,100,22,2056.0,9252.0,2,1,2,0.7,0,12,8,0.5333334,2.122,5140.0,0.6666667,4
47,48,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,1,4,4,4,4,4,3,4,4,1,12,23,1,4,3,4,4,2,4,4,4,2,4,4,4,2,2,2,4,3,4,2,2,2,4,3,2,2,3,2,2,57,100,0,3084.0,3084.0,2,6,4,0.775,1,9,6,0.7,11.0732,2570.0,0.7333333000000001,2
48,49,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,1,1,5,4,5,5,3,4,4,4,5,11,5,5,1,2,1,2,3,2,5,4,1,4,2,2,2,1,2,5,2,3,1,5,1,2,1,1,2,2,1,2,31,100,10,6168.0,9252.0,2,6,5,0.85,0,7,2,0.3666667,9.6098,5140.0,0.6,2
49,50,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,1,4,4,4,4,4,4,4,4,1,8,8,8,4,4,4,3,4,4,4,5,2,4,4,4,1,2,1,4,2,4,2,2,2,4,2,2,2,4,2,1,31,100,6,411.2,514.0,1,1,1,0.8,0,13,3,0.7666666999999999,8.3415,3084.0,0.7666666999999999,3
50,51,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,2,5,3,4,4,4,5,3,5,3,3,1,12,23,9,2,4,3,3,2,3,5,5,2,5,1,4,2,1,1,3,2,2,2,3,2,2,3,2,3,3,3,2,27,100,3,1028.0,34512.5,1,3,2,0.775,2,5,8,0.5666667,25.0244,10280.0,0.7333333000000001,0
51,52,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,2,1,1,5,4,5,4,5,5,4,5,18,12,19,1,1,2,2,2,1,2,5,5,2,5,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49,100,12,5100.0,30600.0,2,1,2,0.925,0,5,16,0.3333333,2.3902,8160.0,0.6666667,4
52,53,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,1,1,5,4,4,5,4,4,5,4,1,7,7,3,4,2,1,4,4,4,5,5,4,5,4,4,2,1,2,4,1,4,2,4,1,4,1,2,1,1,1,1,35,100,12,5140.0,7196.0,1,4,5,0.875,0,5,6,0.6333333000000001,14.439,10280.0,0.9,2
53,54,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,2,1,1,4,4,4,5,4,4,4,4,1,9,12,7,3,2,2,3,2,2,4,4,2,4,2,2,1,2,1,4,2,4,2,3,3,3,2,2,2,2,3,2,26,100,5,925.2,1542.0,1,4,4,0.825,0,13,7,0.46666670000000005,4.122,2056.0,0.6,1
54,55,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,4,1,1,3,3,3,3,3,3,3,3,1,9,23,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,38,100,20,1542.0,1542.0,2,4,5,0.6,0,19,19,0.6,2.122,9766.0,0.6,3
55,56,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,2,1,2,4,5,4,3,4,4,4,4,3,12,12,3,4,4,4,4,4,4,3,5,2,4,5,4,1,1,2,2,2,4,2,2,4,4,2,2,1,4,4,2,36,100,14,7710.0,7710.0,1,3,1,0.8,0,9,8,0.8,16.0732,3598.0,0.7666666999999999,3
